course_name,key
RELACIONES LABORALES Y ORGANIZACION.,3022
FUNDAMENTOS DE FISICA,1130
ESTRUCTURA DATOS Y ALGORITMOS II,1317
PROGRAMACION ORIENTADA A OBJETOS,1323
ESTRUCTURAS DISCRETAS,0119
MATEMATICAS AVANZADAS,1424
FUNDAMENTOS DE ESTADISTICA,1445
DISPOSITIVOS ELECTRONICOS,0138
LENGUAJES FORMALES-AUTOMATAS,0442
SEÑALES Y SISTEMAS,1473
ESTRUCTURA Y PROGRAMAC.COMPUTADOR,1503
INGENIERIA DE SOFTWARE,1531
SISTEMAS OPERATIVOS,0840
CIRCUITOS ELECTRICOS,1562
ADMINISTRACION PROYECTOS SOFTWARE,1643
BASES DE DATOS,1644
DISEÑO DIGITAL MODERNO,1645
INTELIGENCIA ARTIFICIAL,0406
COMPILADORES,0434
DISEÑO DIGITAL VLSI,1535
FINANZAS EN INGENIERIA COMPUTACION,1537
SISTEMAS DE COMUNICACIONES,1686
COMPUTACION GRAFICA E INTERAC.HUMANO,1590
REDES DE DATOS SEGURAS,1598
MICROCOMPUTADORAS,1672
FUNDAMENTOS SISTEMAS EMBEBIDOS,1858
ORGANIZACION Y ARQUITEC.COMPUTADORA,1867
SISTEMAS DISTRIBUIDOS,1959
PRINCIPIOS PRACTICOS DE ELECTRONICA,1138
FUNDAMENTOS DE OPTICA,1451
INTRODUCCION A FISICA DEL EDO. SOLID,1452
SISTEMAS DIGITALES,1453
SISTEMAS Y SEÑALES,1454
CAMPOS Y ONDAS,1458
DISPOSITIVOS DE RADIO-FRECUENCIA,1459
ELEMENTOS DE CONTROL,1460
FUNDAMENTOS DE PROCESOS ALEATORIOS,1461
FUNDAMENTOS SISTEMAS DE COMUNICACION,1462
TEORIA DE CIRCUITOS,1463
COMUNICACIONES DIGITALES,0109
CIRCUITOS DE RADIO-FRECUENCIA,1467
FUNDAMENTOS APLICAC.PROCES.DIGIT.SEÑ,1469
INTRODUCCION A CODIFIC.FUENTE-CANAL,1470
MEDIOS DE TRANSMISION,1682
ANTENAS,1773
DISPOSITIVOS DE MICROONDAS I,1774
PROCESAM.SEÑALES DIGITAL.TIEMPO REAL,2704
REDES DE TELECOMUNICACIONES,2705
TRANSMISORES Y RECEPTORES,2706
DISPOSITIVOS DE MICROONDAS II,1874
SISTEMAS DE COMUNICACIONES OPTICAS,1875
SISTEMAS DE RADIO-COMUNICACIONES I,2813
TECNOLOGIAS E INTERCONEXION DE REDES,2814
REDES INALAMBRICAS Y MOVILES,1974
REGULACION DE LAS TELECOMUNICACIONES,2962
SISTEMAS DE RADIO-COMUNICACIONES II,2963
FISICA EXPERIMENTAL,2211
GEOLOGIA FISICA,1327
TECNICAS GEOLOGICAS DE CAMPO,1438
SEDIMENTOLOGIA,0824
INTRODUCCION A LA GEOFISICA,1468
MECANICA DEL MEDIO CONTINUO,0531
ESTRATIGRAFIA,1727
TEORIA DEL POTENCIAL APLIC.GEOFISICA,2503
VARIABLE COMPLEJA APLIC.GEOFISICA,2504
ANALISIS ESPECTRAL DE SEÑALES,2605
FISICA DE LAS ONDAS,2606
FUNDAMENTOS DE TEORIA ELECTROMAGNET,2607
GEOLOGIA DE MEXICO,1587
INTRODUCCION DISEÑO FILTROS DIGITALE,2707
PROSPECCION GRAVIMETRICA-MAGNETOMETR,2708
PROSPECCION SISMICA I,2709
INTRODUCCION AL TRATAMIENTO SEÑALES,2815
PROSPECCION ELECTRICA,2816
PROSPECCION SISMICA II,2817
PETROFISICA Y REGIST GEOFISIC POZOS,2094
INVERSION DE DATOS GEOFISICOS,2966
PROSPECCION EECTROMAGNETICA,2967
GEOFISICA INTEGRAL,2968
PROCESAMIENTO DE DATOS GEOFISICOS,2969
INSTRUMENTACION,0510
GEODESIA I,1448
SISTEMAS DE POSICIONAMIENTO GLOBAL,1647
ELECTRONICA BASICA,1691
EVALUACION DE PROYECTOS DE INVERSION,1955
FISICA,1328
PALEONTOLOGIA GENERAL,1329
GEOQUIMICA,1573
MINERALOGIA OPTICA,1574
GEOLOGIA DE CAMPO Y CARTOGRAFIA,1575
GEOMORFOLOGIA,1576
PROSPECCION GEOFISICA REGIST POZOS,1577
PETROLOGIA METAMORFICA,1677
PETROLOGIA IGNEA,1690
SISTEMAS DE INFORMACION GEOGRAFICA,1578
TECTONICA,1579
PETROLOGIA SEDIMENTARIA,1729
METALOGENIA,1850
GEOLOGIA DEL PETROLEO,1066
GEOLOGIA AMBIENTAL,1580
GEOLOGIA DEL SUBSUELO,1582
GEOLOGIA APLICADA A LA MINERIA,1871
GEOLOGIA APLICADA A LA ING. CIVIL,1061
GEOLOGIA HISTORICA,1585
PROYECTOS DE INGENIERIA GEOLOGICA,1586
SIMULACION MATEMATICA DE YACIMIENTOS,1090
EQUIPOS Y HERRAMIENTAS PERFOR POZOS,2081
EXPLORACION GEOTERMICA,2082
EXPLORACION Y EVALUAC AGUAS SUBTERR,2083
GEOLOGIA MARINA,2084
GEOLOGIA URBANA,2085
GEOMECANICA,2086
GEOQUIMICA ORGANICA,2087
HIDROGEOLOGIA DE CONTAMINANTES,2089
MECANICA DE SUELOS CIENCIAS DE TIERR,2090
MODELACION NUMERICA ING GEOLOGICA,2091
MODELACION NUMERICA COMPUT ACUIFEROS,2092
PALEONTOLOGIA ESTRATIGRAFICA,2093
RIESGO GEOLOGICO,2095
TEMAS SELEC INGEN GEOLOGICA I,2096
TEMAS SELEC INGEN GEOLOGICA II,2097
TEMAS SELEC INGEN GEOLOGICA III,2098
INGENIERIA INDUSTRIAL Y PRODUCTIVIDA,1129
DIBUJO MECANICO E INDUSTRIAL,1209
MECANICA DE SOLIDOS,1540
ESTUDIO DEL TRABAJO,0192
INGENIERIA DE MATERIALES,1570
MANUFACTURA I,1225
TERMOFLUIDOS,1409
DISEÑO DE SISTEMAS PRODUCTIVOS,0143
INGENIERIA DE MANUFACTURA,0507
ANALISIS DE CIRCUITOS,1550
ESTADISTICA APLICADA,1784
CONTABILIDAD F INANCIERA Y DE COSTOS,2602
INVESTIGACION OPERACIONES I,0339
PLANEAC Y CONTROL D PRODUCC,0619
INGENIERIA ECONOMICA,1734
INVESTIGACION DE OPERACIONES II,1747
